model,accuracy,macro_f1,weighted_f1,best_val_macro_f1,train_seconds,baseline,augment,epochs,batch_size,learning_rate,chemometric_stride,run_dir
mst,0.7761194029850746,0.7254706881195331,0.7682201598249263,0.7124364061864061,80.92470622062683,poly,False,180,16,0.0001,8,review_comparison_results\review_ready_20260429_130441
mst,0.7686567164179104,0.6935343850452236,0.7667056021328785,0.7279670680532749,54.15214920043945,poly,False,120,16,3e-05,8,review_comparison_results\review_ready_20260429_125942
mst,0.7835820895522388,0.6798340170884961,0.7848024636338087,0.7124270268207559,46.00125813484192,poly,True,80,16,3e-05,8,review_comparison_results\review_ready_20260429_125719
standard_transformer,0.753731343283582,0.6796106671106672,0.7489687654799594,0.6834385793944618,80.84911012649536,poly,False,180,16,0.0001,8,review_comparison_results\review_ready_20260429_130441
random_forest,0.7761194029850746,0.6552559072720363,0.7651916459240725,,3.20373010635376,poly,True,80,16,3e-05,8,review_comparison_results\review_ready_20260429_125719
random_forest,0.7761194029850746,0.6552559072720363,0.7651916459240725,,3.1162257194519043,poly,False,1,16,3e-05,8,review_comparison_results\review_ready_20260429_131227
mst,0.753731343283582,0.6316897468471192,0.7402541736870095,0.6937839648037859,103.39864134788512,poly,True,180,16,0.0001,8,review_comparison_results\review_ready_20260429_130810
standard_transformer,0.7164179104477612,0.6209622956943748,0.7064808127143509,0.7034060075726742,104.82999181747437,poly,True,180,16,0.0001,8,review_comparison_results\review_ready_20260429_130810
pca_svm,0.753731343283582,0.6131609001327312,0.7380463809542009,,0.1848993301391601,poly,True,80,16,3e-05,8,review_comparison_results\review_ready_20260429_125719
pca_svm,0.753731343283582,0.6131609001327312,0.7380463809542009,,0.1868972778320312,poly,False,1,16,3e-05,8,review_comparison_results\review_ready_20260429_131227
mst,0.6194029850746269,0.5997285565616319,0.6295951468719637,0.5990107598653659,54.18781208992005,none,False,120,16,3e-05,8,review_comparison_results\review_ready_20260429_130210
random_forest,0.7089552238805971,0.556450493950494,0.6725543010057935,,3.4629948139190674,none,False,120,16,3e-05,8,review_comparison_results\review_ready_20260429_130210
standard_transformer,0.6044776119402985,0.5115004645473168,0.5973584377692464,0.5569868349184206,54.08469867706299,poly,False,120,16,3e-05,8,review_comparison_results\review_ready_20260429_125942
pca_svm,0.6268656716417911,0.5087135391028004,0.6208945816037623,,0.1957526206970214,none,False,120,16,3e-05,8,review_comparison_results\review_ready_20260429_130210
cnn,0.5447761194029851,0.4566786980580083,0.551325796256316,0.5413755900328789,29.14995527267456,poly,False,180,16,0.0001,8,review_comparison_results\review_ready_20260429_130441
pls_da,0.6268656716417911,0.4293827123183532,0.5695905600015392,,0.2565329074859619,poly,True,80,16,3e-05,8,review_comparison_results\review_ready_20260429_125719
pls_da,0.6268656716417911,0.4293827123183532,0.5695905600015392,,0.2602534294128418,poly,False,1,16,3e-05,8,review_comparison_results\review_ready_20260429_131227
pls_da,0.5149253731343284,0.4000867939486865,0.4778485076343609,,0.2349145412445068,none,False,120,16,3e-05,8,review_comparison_results\review_ready_20260429_130210
standard_transformer,0.4104477611940298,0.3341020965713144,0.4024605061253769,0.3538359788359788,54.01466917991638,none,False,120,16,3e-05,8,review_comparison_results\review_ready_20260429_130210
cnn,0.4253731343283582,0.3324873844104613,0.4254275989350616,0.4055707059838027,19.974327087402344,poly,False,120,16,3e-05,8,review_comparison_results\review_ready_20260429_125942
cnn,0.3880597014925373,0.3015493981520838,0.4079250358711686,0.3412645785592272,19.8551037311554,none,False,120,16,3e-05,8,review_comparison_results\review_ready_20260429_130210
cnn,0.3955223880597014,0.291501508147775,0.3944122452060121,0.4060091510465333,26.303219079971317,poly,True,80,16,3e-05,8,review_comparison_results\review_ready_20260429_125719
standard_transformer,0.4029850746268656,0.2808042800783272,0.378281324056983,0.3111184183320406,46.32531976699829,poly,True,80,16,3e-05,8,review_comparison_results\review_ready_20260429_125719
