class,precision,recall,f1,support
Borate,0.0,0.0,0.0,0
Carbonate,0.9473684210526315,0.9473684210526315,0.9473684210526315,19
Glass,0.0,0.0,0.0,2
K-Feldspar,0.75,0.75,0.75,4
Olivine,1.0,0.8,0.8888888888888888,5
Other Silicates,0.9166666666666666,0.6470588235294118,0.7586206896551724,17
Oxides/Hydroxides,0.6666666666666666,0.5,0.5714285714285714,8
Phosphate,0.7777777777777778,0.5,0.6086956521739131,14
Phyllosilicates,0.55,0.6470588235294118,0.5945945945945946,17
Plagioclase,0.7,1.0,0.8235294117647058,7
Pyroxene,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
Silica Phase,0.5,1.0,0.6666666666666666,2
Sulfate,0.65,0.9285714285714286,0.7647058823529411,14
